v,vw,o,c,h,l,t,n
1119770.0,118.6116,118.79,119.21,119.76,116.7,1656648000000,18467
1484902.0,119.4492,117.75,120.56,120.675,116.49,1656993600000,19797
1642289.0,121.2609,120.8,121.18,122.34,120.555,1657080000000,21109
1221228.0,122.4784,120.99,123.15,123.22,120.62,1657166400000,21467
1267400.0,122.4618,120.96,122.51,123.21,120.96,1657252800000,27792
1304407.0,122.7873,121.61,123.12,123.46,121.01,1657512000000,26021
1196763.0,119.9976,122.43,119.24,123.41,118.75,1657598400000,24045
1378011.0,118.6518,117.41,118.65,119.7,116.86,1657684800000,24947
1347360.0,115.2099,117.1,115.88,117.73,113.02,1657771200000,28879
969438,118.32,117.78,118.83,118.88,116,1657857600000,19922
1178166.0,116.1671,118.95,115.11,119.39,114.46,1658116800000,22049
1296959.0,118.3352,116.99,119.06,119.34,116.37,1658203200000,23181
1316597.0,120.1006,119.93,119.86,121.21,119.25,1658289600000,24014
1682559.0,126.4357,122.12,127.19,127.34,122.12,1658376000000,27892
1079466.0,125.4506,127.41,125.04,128.5399,124.31,1658462400000,18900
1044007.0,124.1372,125.05,124.26,125.41,123.19,1658721600000,16398
1259957.0,124.8617,124.66,125.17,125.63,123.37,1658808000000,21029
1395945.0,126.8937,125.04,127.71,128.33,124.71,1658894400000,20815
1861392.0,130.6902,128.17,131.11,131.825,126.78,1658980800000,26009
2214917.0,133.5384,131.27,134.1,134.5,130.9,1659067200000,31804
1081837.0,133.982,133.51,133.43,135.23,133.26,1659326400000,22150
1398687.0,132.213,132.41,131.28,134.68,131.09,1659412800000,22581
2113206.0,134.4903,133.45,134.56,135.26,133.02,1659499200000,25945
895554,133.8092,134.69,133.77,135,132.74,1659585600000,15818
675823,133.155,132.27,133.61,133.84,131.75,1659672000000,14001
